"model","call","AIC","deltaAIC","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","BIC","deviance","df.residual","nobs"
20,"Somass ~ poly(Sproat Flow, 4) + poly(Air Temp, 5)",888.139260509649,0,0.914239277603145,0.910174788390024,1.73799245690986,224.933375306243,1.15104165217086e-106,10,-432.069630254825,928.971389092116,637.350351638143,211,222
15,"Somass ~ poly(Sproat Flow, 3) + poly(Air Temp, 5)",888.935403004876,0.796,0.913152269835414,0.909465337894465,1.74484239647703,247.67266780636,2.66958553498603e-107,9,-433.467701502438,926.364854205471,645.428697571267,212,222
25,"Somass ~ poly(Sproat Flow, 5) + poly(Air Temp, 5)",889.657226277426,1.518,0.914425290015649,0.909942805206945,1.74023528514055,203.999640610052,1.41270346848249e-105,11,-431.828613138713,933.892032241766,635.967958006123,210,222
13,"Somass ~ poly(Sproat Flow, 3) + poly(Air Temp, 3)",891.856262203903,3.717,0.910402143324729,0.907471372311986,1.76395224445553,310.635713048358,2.31416898982642e-108,7,-436.928131101951,922.480358640753,665.866889434015,214,222
18,"Somass ~ poly(Sproat Flow, 4) + poly(Air Temp, 3)",892.161859294787,4.023,0.911083390986033,0.907743800037152,1.76135356907356,272.812869878931,1.88207436665777e-107,8,-436.080929647393,926.18863311351,660.804042196376,213,222
19,"Somass ~ poly(Sproat Flow, 4) + poly(Air Temp, 4)",892.707415048849,4.568,0.911664028539217,0.90791391654324,1.75972888926088,243.103147190619,1.60759389580559e-106,9,-435.353707524425,930.136866249444,656.488901904256,212,222
14,"Somass ~ poly(Sproat Flow, 3) + poly(Air Temp, 4)",892.797250389771,4.658,0.91082853626012,0.907479373302753,1.76387597794708,271.957067438828,2.55067959802634e-107,8,-436.398625194885,926.824024208494,662.698053168275,213,222
23,"Somass ~ poly(Sproat Flow, 5) + poly(Air Temp, 3)",894.013940756618,5.875,0.911142616364736,0.907370368946258,1.76491473857118,241.538402783855,2.99394944893992e-106,9,-436.006970378309,931.443391957213,660.363895298267,212,222
24,"Somass ~ poly(Sproat Flow, 5) + poly(Air Temp, 4)",894.499270775855,6.36,0.911746812366797,0.907564196839157,1.76306722582313,217.984848557489,2.33897326030506e-105,10,-435.249635387928,935.331399358323,655.873675024822,211,222
10,"Somass ~ poly(Sproat Flow, 2) + poly(Air Temp, 5)",899.138147993911,10.999,0.908244844417284,0.904798641390703,1.78924715706355,263.5494303185,5.29761680711578e-106,8,-439.569073996956,933.164921812634,681.89934786978,213,222
8,"Somass ~ poly(Sproat Flow, 2) + poly(Air Temp, 3)",902.256355986519,14.117,0.905255132184499,0.902611089361741,1.80968720877276,342.375367143323,4.65511943947569e-107,6,-443.128177993259,929.477775041497,704.118075623084,215,222
9,"Somass ~ poly(Sproat Flow, 2) + poly(Air Temp, 4)",904.254968213553,16.116,0.905255724454567,0.902156612637661,1.81390485231139,292.101665876043,8.98723840360565e-106,7,-443.127484106776,934.879064650403,704.113674033101,214,222
11,"Somass ~ poly(Sproat Flow, 3) + poly(Air Temp, 1)",914.926085924972,26.787,0.898782917547361,0.896439929527624,1.86614304856731,383.605426052602,2.70744852832219e-105,5,-450.463042962486,938.744827598078,752.21781358668,216,222
16,"Somass ~ poly(Sproat Flow, 4) + poly(Air Temp, 1)",916.32536999866,28.186,0.899056433419991,0.896239403654967,1.86794890380102,319.150491266636,4.17581221452867e-104,6,-450.16268499933,943.546789053638,750.185118050457,215,222
12,"Somass ~ poly(Sproat Flow, 3) + poly(Air Temp, 2)",916.45085315725,28.312,0.898999360005069,0.896180737493582,1.86847689761665,318.949897100966,4.43685795282785e-104,6,-450.225426578625,943.672272212229,750.609272139334,215,222
17,"Somass ~ poly(Sproat Flow, 4) + poly(Air Temp, 2)",917.663258983179,29.524,0.899357047284989,0.89606498808403,1.86951820172564,273.1898159739,5.6656934643281e-103,7,-449.83162949159,948.28735542003,747.951037608865,214,222
21,"Somass ~ poly(Sproat Flow, 5) + poly(Air Temp, 1)",918.324773497973,30.186,0.899056704648936,0.895754821156145,1.8723056683292,272.286016939008,7.78688538364123e-103,7,-450.162386748986,948.948869934823,750.183102350739,214,222
5,"Somass ~ poly(Sproat Flow, 1) + poly(Air Temp, 5)",918.909257231414,30.77,0.898790590009991,0.895480001832747,1.87477200349908,271.489699681827,1.03131431971396e-102,7,-450.454628615707,949.533353668265,752.160793932247,214,222
22,"Somass ~ poly(Sproat Flow, 5) + poly(Air Temp, 2)",919.657841347704,31.519,0.899359503321826,0.89557957856396,1.87387873830599,237.930530614489,9.69523032002843e-102,8,-449.828920673852,953.684615166427,747.932785011425,213,222
3,"Somass ~ poly(Sproat Flow, 1) + poly(Air Temp, 3)",920.484942848895,32.346,0.896216454434628,0.893814057546541,1.88965393296304,373.050955434827,4.0288655484933e-104,5,-453.242471424448,944.303684522001,771.291069054343,216,222
4,"Somass ~ poly(Sproat Flow, 1) + poly(Air Temp, 4)",922.31002395375,34.171,0.896298195665001,0.893404191823094,1.89329734574691,309.708709672757,7.5278985483921e-103,6,-453.155011976875,949.531443008729,770.683590473641,215,222
6,"Somass ~ poly(Sproat Flow, 2) + poly(Air Temp, 1)",924.002474132311,35.863,0.893604723500422,0.891643520246974,1.90886935755357,455.641057054729,2.58289201885565e-104,4,-456.001237066156,944.418538423545,790.700742652911,217,222
7,"Somass ~ poly(Sproat Flow, 2) + poly(Air Temp, 2)",925.814981232181,37.676,0.893694543038724,0.891233768572028,1.91247516116278,363.176128139277,5.36398846049847e-103,5,-455.90749061609,949.633722905287,790.033228285953,216,222
1,"Somass ~ poly(Sproat Flow, 1) + poly(Air Temp, 1)",946.691765944678,58.553,0.881089131495609,0.879452743396925,2.01338777978386,538.435308961266,1.75623673702104e-100,3,-468.345882972339,963.70515285404,883.71321668869,218,222
2,"Somass ~ poly(Sproat Flow, 1) + poly(Air Temp, 2)",946.973986455777,58.835,0.882005682932915,0.879830672480065,2.01022920468927,405.51790534036,1.91577341212388e-99,4,-467.486993227888,967.39005074701,876.90165581869,217,222
