"seas","fh","RMSE","MAE","MAPE"
1,"FH = 1 week",0.377,0.276,6.052
1,"FH = 2 weeks",0.238,0.205,3.683
1,"FH = 3 weeks",0.273,0.225,4.117
1,"FH = 4 weeks",0.384,0.317,5.102
2,"FH = 1 week",0.881,0.581,6.663
2,"FH = 2 weeks",0.652,0.537,6.757
2,"FH = 3 weeks",0.737,0.613,7.815
2,"FH = 4 weeks",0.802,0.659,8.518
3,"FH = 1 week",0.746,0.57,3.088
3,"FH = 2 weeks",1.052,0.855,4.834
3,"FH = 3 weeks",1.013,0.868,4.992
3,"FH = 4 weeks",0.858,0.682,3.89
4,"FH = 1 week",1.446,1.07,7.341
4,"FH = 2 weeks",1.765,1.529,10.904
4,"FH = 3 weeks",1.728,1.582,11.59
4,"FH = 4 weeks",1.776,1.348,9.985
